station_id,demand_id,route_energy_fraction,route_distance_km,straight_distance_km,detour_ratio,demand_name,demand_category,demand_latitude,demand_longitude,station_name,station_category,station_latitude,station_longitude,scenario,wind_speed_mps,wind_flow_bearing_deg,total_energy_fraction,battery_reserve_after_mission_fraction,unserved_reason
facility_2513,facility_397,0.4582655406595476,5.081756490482113,5.081756490482113,1.0,کلینیک دکتر محرابی,doctors,35.6517857,51.3619372,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.4982655406595476,0.5017344593404525,
facility_1846,facility_4,0.17077567702966395,1.8937500819131055,1.8937500819131055,1.0,پلی کلینیک تخصصی جشنواره,clinic,35.7294441,51.5472681,Turan Hearing Aid Center,hospital,35.7417034,51.5326919,CALM,0.0,,0.21077567702966396,0.7892243229703361,
facility_2442,facility_402,0.3222813037718037,3.573812477469507,3.573812477469507,1.0,آزمایشگاه ماد,laboratory,35.7806571,51.4620272,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.3622813037718037,0.6377186962281963,
facility_2442,facility_405,0.1363722946743189,1.5122472280716555,1.5122472280716555,1.0,ساختمان پزشکان ظفر,clinic,35.7656513,51.4425887,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.17637229467431892,0.8236277053256811,
facility_2442,facility_407,0.4090474688659194,4.535971931978513,4.535971931978513,1.0,unnamed,clinic,35.7330678,51.3987121,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.4490474688659194,0.5509525311340806,
facility_2442,facility_408,0.617695193908612,6.84968927898659,6.84968927898659,1.0,درمانگاه تخصصی تشخیص و درمان ناباروری نیکان,clinic,35.8000274,51.4903378,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.6576951939086121,0.3423048060913879,
facility_2442,facility_409,0.09475577045774936,1.0507570585413792,1.0507570585413792,1.0,کلینیک خانه سفید,clinic,35.7685729,51.4144624,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.13475577045774936,0.8652442295422507,
facility_2578,facility_410,0.24728820234289473,2.742205808158833,2.742205808158833,1.0,مجتمع پزشکان سجاد,clinic,35.7661156,51.3402676,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.2872882023428947,0.7127117976571054,
facility_2578,facility_411,0.24730457892543412,2.7423874098662004,2.7423874098662004,1.0,مطب حکیم حسین خیراندیش,doctors,35.7661154,51.3402729,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.2873045789254341,0.712695421074566,
facility_2442,facility_412,0.38292807019931097,4.246331075477508,4.246331075477508,1.0,رادیولوژی فک و صورت اندرزگو,doctors,35.8000068,51.4505964,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.42292807019931095,0.577071929800689,
facility_2578,facility_413,0.037995022425756704,0.42133094175096547,0.42133094175096547,1.0,کلینیک دندانپزشکی اقاقیا,clinic,35.7471492,51.3255792,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.0779950224257567,0.9220049775742433,
