name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude
فیزیوتراپی توان گستر نوین,clinic,clinic,clinic,True,False,35.7271723,51.375066
مطب دکتر شاهرخ عطاریان,doctors,doctor,doctors,True,False,35.7251162,51.4260108
مطب دکتر محبوبه کریمی جراح گوش و حلق  و بینی,doctors,doctor,doctors,True,False,35.782083,51.3764251
کلینیک تخصصی قلب و عروق ایران زمین,clinic,clinic,clinic,True,False,35.705742,51.3901072
مطب دکتر آزاده مولوی مقدم,doctors,doctor,doctors,True,False,35.7756942,51.3660311
كلينيك ارتوپدى دكتر محمد ربانى,clinic,clinic,clinic,True,False,35.6603485,51.3938083
دکتر حدیث یگانه فرد متخصص بیماری های دهان و زیبایی,doctors,doctor,doctors,True,False,35.756464,51.4495714
دکتر علیرضا تسلیمی متخصص جراحی لثه,doctors,doctor,doctors,True,False,35.756452,51.4495249
مطب دكتر علي ناظري روانپزشك,doctors,doctor,doctors,True,False,35.7618898,51.4453519
دکتر محمد آزادگان متخصص کودکان و نوزادان,doctors,doctor,doctors,True,False,35.7387403,51.1332345
دندانپزشکی دکتر فرهاد مهردادی,clinic,clinic,clinic,True,False,35.769226,51.3598066
کلینیک روانشناسی و مشاوره آسنا,doctors,doctor,doctors,True,False,35.756746,51.3929947
دکتر علی زینلی متخصص جراحی مغز و اعصاب,doctors,doctor,doctors,True,False,35.7238837,51.4231747
مطب دکتر مهران جمالی,doctors,doctor,doctors,True,False,35.7807219,51.4642456
کلینیک ارتوپدی و ارتوپدفنی نویان,doctors,doctor,doctors,True,False,35.7342598,51.3542897
دندانپزشکی دکتر کامران عزیزی,doctors,doctor,doctors,True,False,35.7032486,51.438859
مطب دکتر مطهری (پیرایه),doctors,doctor,doctors,True,False,35.7723957,51.4373222
تغذیه و رژیم درمانی پرنیان قربانپور,doctors,doctor,doctors,True,False,35.7381139,51.3055872
دکتر منصور عظمتی,clinic,clinic,clinic,True,False,35.7580052,51.4144545
کلینیک ترک اعتیاد شمیم زندگی,doctors,doctor,doctors,True,False,35.6927231,51.4803146
مرکز گوش و شنوایی غرب تهران,doctors,doctor,doctors,True,False,35.724164,51.3293461
مطب دکتر کامران دلیر,doctors,doctor,doctors,True,False,35.7697674,51.3591402
مطب مامایی لیلا شجاع,clinic,clinic,clinic,True,False,35.7383117,51.5582018
دکتر سارا بدخش ، متخصص پوست ، مو و زیبایی,doctors,doctor,doctors,True,False,35.7958298,51.4477125
رقیه عزیززاده کارشناس مامایی,doctors,doctor,doctors,True,False,35.628372,51.3561075
دکتر امیرپاشا ابراهیمی,doctors,doctor,doctors,True,False,35.7477037,51.4125878
دکتر امیرحسین خیراندیش جراحی عمومی,doctors,doctor,doctors,True,False,35.7761134,51.365739
کلینیک زیبایی دکتر مهتاب امینی,clinic,doctor,clinic,True,False,35.7246421,51.4188411
کلینیک ارزیابی شنوایی و سمعک نگین,doctors,doctor,doctors,True,False,35.7052575,51.4035209
مطب دکتر سمیه حجازی نیا,doctors,doctor,doctors,True,False,35.7800091,51.4487781
دکتر ندا پژوهی  - دکتر لیپ,doctors,doctor,doctors,True,False,35.7105663,51.4081985
دکتر سمیرا عبدالهی مقدم متخصص زنان و زایمان,doctors,doctor,doctors,True,False,35.775494,51.3642478
مطب دکتر نسرین یزدانی,doctors,doctor,doctors,True,False,35.7475028,51.4119355
مرکز مشاوره و روانشناسی بینش فردی,doctors,doctor,doctors,True,False,35.7604491,51.4313388
مطب چشم پزشکی دکتر باقرصاد,doctors,doctor,doctors,True,False,35.7357832,51.4064548
کلینیک فیزیوتراپی و لیزر درمانی معینی,clinic,clinic,clinic,True,False,35.7583552,51.4103953
دکتر رحمت اله آزادی متخصص و جراح استخوان و مفاصل,doctors,doctor,doctors,True,False,35.7417091,51.5333096
دکتر محمودرضا اشرفی,doctors,doctor,doctors,True,False,35.7042051,51.383244
دكتر شهرام محمدى ميرى,doctors,doctor,doctors,True,False,35.7594686,51.4422544
مرکز تخصصی شنوایی و سمعک آرامش قلهک,doctors,doctor,doctors,True,False,35.7722561,51.4371701
دفتر روانشناسی حال خوش روانشناس مریم عالمی,doctors,doctor,doctors,True,False,35.7389786,51.5320068
دکتر مهشید طالبی,doctors,doctor,doctors,True,False,35.7681929,51.4744463
مطب دکتر حسین حاجی عباسی,doctors,doctor,doctors,True,False,35.7747039,51.4134902
دکتر عزیزاله یوسفی فوق تخصص گوارش,doctors,doctor,doctors,True,False,35.7085198,51.3852179
مطب دکتر زهراسادات سبزپوشان,doctors,doctor,doctors,True,False,35.7812506,51.3701904
دندانپزشکی زهره شعبه جیحون,hospital,dentistry,hospital,True,True,35.6869123,51.364972
کلینیک زیبایی دکتر معروفی,clinic,clinic,clinic,True,False,35.7702484,51.361975
دکتر رامین نوری نیا فوق تخصص شبکیه,doctors,doctor,doctors,True,False,35.7703834,51.4640348
دکتر علی ابراهیمی فوق تخصص جراحی پلاستیک,doctors,doctor,doctors,True,False,35.7563044,51.3941456
دفتر مشاوره و روانشناسی «کیمیای جان و خرد »,doctors,doctor,doctors,True,False,35.7242713,51.4166238
مطب دكترمريم السادات تهرانی فوق تخصص ریه,clinic,clinic,clinic,True,False,35.7271054,51.3708018
کلینیک ارتوپدی فنی نبض حرکت,clinic,clinic,clinic,True,False,35.7616837,51.4440944
دکتر فرهاد مرادی فوق تخصص گوارش و کبد,clinic,clinic,clinic,True,False,35.726268,51.3238746
موسسه فیزیوتراپی خلیج فارس,doctors,doctor,doctors,True,False,35.674014,51.2663215
کلینیک درد و توانبخشی سدار,doctors,doctor,doctors,True,False,35.8009681,51.4527443
کاردرمانی پیشگام,doctors,doctor,doctors,True,False,35.7248937,51.3828175
دکتر باقر احمدپور,doctors,doctor,doctors,True,False,35.6817075,51.4911637
پردیس مارال دکتر مالکی دکتر تیمور زاده,clinic,clinic,clinic,True,False,35.7706041,51.3723257
مرکز تصویربرداری پزشکی نگاه رسا طب,doctors,doctor,doctors,True,False,35.6658937,51.4432448
