name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
بیمارستان آسیا,hospital,hospital,hospital,True,True,35.7296169,51.4183253,2467,government_political,True
بیمارستان البرز,hospital,hospital,hospital,True,True,35.70262338083166,51.4000556039005,2468,,False
بیمارستان تهران,hospital,hospital,hospital,True,True,35.71776742623962,51.41954038617773,2469,,False
بیمارستان توس,hospital,,hospital,True,True,35.72456255,51.41470565,2470,,False
بیمارستان قلب جماران,hospital,hospital,hospital,True,True,35.81741520754744,51.458245014889414,2471,government_political,True
بیمارستان کسری,hospital,hospital,hospital,True,True,35.73924368762191,51.415342959407276,2472,,False
بیمارستان کودکان تهران,hospital,hospital,hospital,True,True,35.70626122632644,51.40721820437941,2473,,False
بیمارستان مرکز طبی کودکان,hospital,hospital,hospital,True,True,35.70617228684331,51.38242821657499,2474,,False
بیمارستان مهر,hospital,hospital,hospital,True,True,35.71583757901156,51.402497299478505,2475,government_political,True
بیمارستان مهراد,hospital,hospital,hospital,True,True,35.726625475730785,51.42613706423678,2476,government_political,True
بیمارستان تهران کلینیک,hospital,hospital,hospital,True,True,35.72584237453486,51.41813653582141,2477,,False
بیمارستان اقبال,hospital,hospital,hospital,True,True,35.6957983858734,51.37581210070735,2478,,False
بیمارستان مروستی,hospital,hospital,hospital,True,True,35.696971816481174,51.41160727335035,2479,,False
بیمارستان عیوض زاده (سورنا),hospital,hospital,hospital,True,True,35.692038241332874,51.4066617199091,2480,,False
بیمارستان باهر,hospital,hospital,hospital,True,True,35.69210445,51.405902749999996,2481,,False
بیمارستان مدائن,hospital,,hospital,True,True,35.69912693280963,51.40346466563746,2482,,False
بیمارستان سوم شعبان,hospital,hospital,hospital,True,True,35.67213699820132,51.44074241736898,2483,,False
بیمارستان شفا یحیائیان,hospital,hospital,hospital,True,True,35.69175887796819,51.43779993325389,2484,airport_buffer|government_political,True
